Pl.,Bib,Name,Gender,Finish Time,Category Distance
1.,3022,Hafiziani Adilla Narsya,F,1:13:01,10K Female Open
2.,3021,Anggun Chyntia Harani,F,1:32:56,10K Female Open
3.,3031,Erni Agustina,F,1:32:59,10K Female Open
4.,3035,Siti Aisyah,F,1:36:57,10K Female Open
5.,3026,Putri Koswara,F,1:39:23,10K Female Open
6.,3029,Hartati Lase,F,1:40:57,10K Female Open
7.,3030,Mia Sulestri,F,1:41:05,10K Female Open
8.,3038,Ispratiwi Kusumawardhani,F,1:49:55,10K Female Open
9.,423,Sandra Alfina,F,1:54:38,10K Female Open
10.,3017,Rosa Rizky Raya,F,1:57:23,10K Female Open
11.,3018,Dewinta Dewinta,F,2:02:40,10K Female Open
12.,3036,Salsabilah Salsabilah,F,2:05:52,10K Female Open
13.,3028,Marombun Lumbantoruan,F,2:09:09,10K Female Open
14.,3005,Lerin Adysta,F,2:09:10,10K Female Open
15.,3019,Nabila Yulia Danubratha,F,2:09:51,10K Female Open
16.,3006,Adinda Adinda,F,2:10:52,10K Female Open
17.,3024,Amalia Erdiana,F,2:11:30,10K Female Open
18.,3039,Siti Hafsah Rasmala,F,2:11:47,10K Female Open
19.,3034,Shaffa Shaffa,F,2:12:28,10K Female Open
20.,3032,Sophia Agustina,F,2:12:41,10K Female Open
21.,3027,Haerini Asyfa,F,2:19:12,10K Female Open
22.,3014,Yovanka Pinkan,F,2:23:16,10K Female Open
23.,3023,Isabella Sasqia Mulya,F,2:24:42,10K Female Open
24.,3037,Hana Fauziah Nurshafira,F,2:25:14,10K Female Open
25.,3011,Dinah Auliyah Safriyani,F,2:28:48,10K Female Open
26.,3009,Tri Ratna Putri,F,2:31:36,10K Female Open
27.,3004,Devi Hardiyani Syafitri,F,2:33:51,10K Female Open
28.,3003,Putri Permata Sari,F,2:34:29,10K Female Open
29.,3010,Aldila Andarilika,F,2:40:08,10K Female Open
30.,3025,Rany Subhan,F,2:41:20,10K Female Open
31.,3020,Daliyah Amelia,F,2:43:44,10K Female Open
32.,3012,Joyfanny Kezia Ruthlina,F,2:45:48,10K Female Open
33.,3008,Ririn Sabat Tini Pardosi,F,2:50:41,10K Female Open
34.,3001,Eliza Chozna,F,2:52:10,10K Female Open
35.,3015,Pricilia Angela,F,2:53:16,10K Female Open
36.,3013,Fitri Maharani,F,2:58:14,10K Female Open
37.,3016,Rahma Rizki Alawiah,F,3:05:20,10K Female Open
DNF,3033,Nurul Ismi,F,1:20:10,10K Female Open
DNF,3007,Puja Novica Simbolon,F,1:20:54,10K Female Open
DNS,3002,Sofiana Sofiana,F,,10K Female Open
