Pl.,Bib,Name,Gender,Finish Time,Category Distance
1.,1745,Abdul Haris,M,1:16:29,15K Male Master
2.,1714,Oktavianus Quaasalmy,M,1:21:02,15K Male Master
3.,1729,Eddy Muryanto,M,1:30:51,15K Male Master
4.,1739,Fajar Tridianto,M,1:40:29,15K Male Master
5.,1712,Eddy Susanto,M,1:50:40,15K Male Master
6.,1727,Djiu Sin,M,1:50:52,15K Male Master
7.,1743,Rickyanto Rusmedi,M,1:56:13,15K Male Master
8.,1740,Raphael Jules Eugene David,M,1:56:13,15K Male Master
9.,1725,Irvan Harafing,M,2:06:04,15K Male Master
10.,1726,Agus Susanto,M,2:07:58,15K Male Master
11.,1708,Martin Wahyunus,M,2:08:33,15K Male Master
12.,1719,Matsuda Kosuke,M,2:08:42,15K Male Master
13.,1704,Yudi Kurniawan,M,2:09:43,15K Male Master
14.,1744,Hendri Sundadinata,M,2:11:49,15K Male Master
15.,1732,"Budhizulianto., St",M,2:15:37,15K Male Master
16.,1702,Otong Komarudin,M,2:21:57,15K Male Master
17.,1736,Erik Malia,M,2:23:01,15K Male Master
18.,1741,Janggam Adhityawarma,M,2:23:46,15K Male Master
19.,1720,Balugu Gomo Sibagariang,M,2:24:44,15K Male Master
20.,1737,Andrey Iswaratioso,M,2:26:08,15K Male Master
21.,1738,Sukri Helmi Nasution,M,2:27:53,15K Male Master
22.,1730,Teddy Djie,M,2:30:46,15K Male Master
23.,1728,Agus Sudarji,M,2:30:46,15K Male Master
24.,1721,Subanda Subanda,M,2:37:28,15K Male Master
25.,1735,Lukas Marbun,M,2:38:48,15K Male Master
26.,1711,Djunaedi Lojang Djaja,M,2:39:32,15K Male Master
27.,1716,Albert Joni Rinekso,M,2:39:42,15K Male Master
28.,1742,Wenesdi Wenesdi,M,2:39:50,15K Male Master
29.,1707,Ade Kurniawan,M,2:39:54,15K Male Master
30.,1722,Raskyan Raskyan,M,2:40:32,15K Male Master
31.,1723,David Agam,M,2:44:57,15K Male Master
32.,1705,Sayudi Sayudi,M,2:55:58,15K Male Master
33.,1713,Bobby Tirtadjaja Bobby,M,2:59:02,15K Male Master
34.,1715,Muhammad Rum,M,3:00:05,15K Male Master
35.,1701,Adi Darma,M,3:08:15,15K Male Master
36.,1718,Agung Priyo Sumbodo,M,3:14:32,15K Male Master
37.,1734,Duddy Sona Lasmana,M,3:17:18,15K Male Master
DNF,1733,Ng Suparto,M,1:35:29,15K Male Master
DNS,1703,Denny Chandra Irawan,M,,15K Male Master
DNS,1706,Ardian Permana,M,,15K Male Master
DNS,1709,Taufik Djafar,M,,15K Male Master
DNS,1710,Dewa Ketut Sidharta,M,,15K Male Master
DNS,1724,Anil K Chaturvedi,M,,15K Male Master
